lpp_1943.1	"s1p: 
s1c: 
s1o: 
s1t: 
"	"s1p: publication-91
s1c: chapter
s1o: ordinal-entity
s1t: thing
"
nw.wsj_0011.6	"s6r: 
s6c: 
s6s: 
s6s2: 
s6t: 
s6m: 
s6d: 
s6s3: 
s6y: 
s6t2: 
s6t3: 
s6f2: 
s6g: 
"	"s6r: record-01
s6c: country
s6s: name
s6s2: surplus
s6t: trade-01
s6m: monetary-quantity
s6d: dollar
s6s3: so-far
s6y: year
s6t2: this
s6t3: thing
s6f2: forecast-01
s6g: gloomy
"
nw.wsj_0011.6	"s6r: 
s6c: 
s6s: 
s6s2: 
s6t: 
s6m: 
s6d: 
s6s3: 
s6y: 
s6t2: 
s6t3: 
s6f2: 
s6g: 
"	"s6r: record-01
s6c: country
s6s: name
s6s2: surplus
s6t: trade-01
s6m: monetary-quantity
s6d: dollar
s6s3: so-far
s6y: year
s6t2: this
s6t3: thing
s6f2: forecast-01
s6g: gloomy
"
nw.wsj_0011.7	"s7i: 
s7t: 
s7e: 
s7n: 
s7a: 
s7p: 
s7m2: 
s7d5: 
s7d6: 
s7y: 
s7l: 
s7d7: 
s7m: 
s7d: 
s7d2: 
s7d3: 
s7d4: 
"	"s7i: increase-01
s7t: thing
s7e: export-01
s7n: nation
s7a: accumulate-01
s7p: percentage-entity
s7m2: monetary-quantity
s7d5: date-interval
s7d6: date-entity
s7y: year
s7l: last
s7d7: date-entity
s7m: monetary-quantity
s7d: dollar
s7d2: date-interval
s7d3: date-entity
s7d4: date-entity
"
nw.wsj_0011.7	"s7i: 
s7t: 
s7e: 
s7n: 
s7a: 
s7p: 
s7m2: 
s7d5: 
s7d6: 
s7y: 
s7l: 
s7d7: 
s7m: 
s7d: 
s7d2: 
s7d3: 
s7d4: 
"	"s7i: increase-01
s7t: thing
s7e: export-01
s7n: nation
s7a: accumulate-01
s7p: percentage-entity
s7m2: monetary-quantity
s7d5: date-interval
s7d6: date-entity
s7y: year
s7l: last
s7d7: date-entity
s7m: monetary-quantity
s7d: dollar
s7d2: date-interval
s7d3: date-entity
s7d4: date-entity
"
nw.wsj_0011.7	"s7i: 
s7t: 
s7e: 
s7n: 
s7a: 
s7p: 
s7m2: 
s7d5: 
s7d6: 
s7y: 
s7l: 
s7d7: 
s7m: 
s7d: 
s7d2: 
s7d3: 
s7d4: 
"	"s7i: increase-01
s7t: thing
s7e: export-01
s7n: nation
s7a: accumulate-01
s7p: percentage-entity
s7m2: monetary-quantity
s7d5: date-interval
s7d6: date-entity
s7y: year
s7l: last
s7d7: date-entity
s7m: monetary-quantity
s7d: dollar
s7d2: date-interval
s7d3: date-entity
s7d4: date-entity
"
nw.wsj_0011.8	"s8u: 
s8t: 
s8i2: 
s8p: 
s8m: 
s8d: 
"	"s8u: up-02
s8t: thing
s8i2: import-01
s8p: percentage-entity
s8m: monetary-quantity
s8d: dollar
"
nw.wsj_0011.8	"s8u: 
s8t: 
s8i2: 
s8p: 
s8m: 
s8d: 
"	"s8u: up-02
s8t: thing
s8i2: import-01
s8p: percentage-entity
s8m: monetary-quantity
s8d: dollar
"
nw.wsj_0008.1	"s1s: 
s1g4: 
s1g: 
s1f: 
s1s2: 
s1b: 
s1s3: 
s1c3: 
s1n: 
s1c: 
s1l: 
s1g3: 
s1n2: 
s1c4: 
s1d: 
s1g5: 
s1g2: 
"	"s1s: suspend-01
s1g4: government-organization
s1g: govern-01
s1f: federal
s1s2: sell-01
s1b: bond
s1s3: savings
s1c3: country
s1n: name
s1c: cause-01
s1l: lift-01
s1g3: government-organization
s1n2: name
s1c4: ceiling
s1d: debt
s1g5: government-organization
s1g2: govern-01
"
nw.wsj_0008.1	"s1s: 
s1g4: 
s1g: 
s1f: 
s1s2: 
s1b: 
s1s3: 
s1c3: 
s1n: 
s1c: 
s1l: 
s1g3: 
s1n2: 
s1c4: 
s1d: 
s1g5: 
s1g2: 
"	"s1s: suspend-01
s1g4: government-organization
s1g: govern-01
s1f: federal
s1s2: sell-01
s1b: bond
s1s3: savings
s1c3: country
s1n: name
s1c: cause-01
s1l: lift-01
s1g3: government-organization
s1n2: name
s1c4: ceiling
s1d: debt
s1g5: government-organization
s1g2: govern-01
"
nw.wsj_0008.1	"s1s: 
s1g4: 
s1g: 
s1f: 
s1s2: 
s1b: 
s1s3: 
s1c3: 
s1n: 
s1c: 
s1l: 
s1g3: 
s1n2: 
s1c4: 
s1d: 
s1g5: 
s1g2: 
"	"s1s: suspend-01
s1g4: government-organization
s1g: govern-01
s1f: federal
s1s2: sell-01
s1b: bond
s1s3: savings
s1c3: country
s1n: name
s1c: cause-01
s1l: lift-01
s1g3: government-organization
s1n2: name
s1c4: ceiling
s1d: debt
s1g5: government-organization
s1g2: govern-01
"
nw.wsj_0008.1	"s1s: 
s1g4: 
s1g: 
s1f: 
s1s2: 
s1b: 
s1s3: 
s1c3: 
s1n: 
s1c: 
s1l: 
s1g3: 
s1n2: 
s1c4: 
s1d: 
s1g5: 
s1g2: 
"	"s1s: suspend-01
s1g4: government-organization
s1g: govern-01
s1f: federal
s1s2: sell-01
s1b: bond
s1s3: savings
s1c3: country
s1n: name
s1c: cause-01
s1l: lift-01
s1g3: government-organization
s1n2: name
s1c4: ceiling
s1d: debt
s1g5: government-organization
s1g2: govern-01
"
nw.wsj_0008.1	"s1s: 
s1g4: 
s1g: 
s1f: 
s1s2: 
s1b: 
s1s3: 
s1c3: 
s1n: 
s1c: 
s1l: 
s1g3: 
s1n2: 
s1c4: 
s1d: 
s1g5: 
s1g2: 
"	"s1s: suspend-01
s1g4: government-organization
s1g: govern-01
s1f: federal
s1s2: sell-01
s1b: bond
s1s3: savings
s1c3: country
s1n: name
s1c: cause-01
s1l: lift-01
s1g3: government-organization
s1n2: name
s1c4: ceiling
s1d: debt
s1g5: government-organization
s1g2: govern-01
"
nw.wsj_0008.1	"s1s: 
s1g4: 
s1g: 
s1f: 
s1s2: 
s1b: 
s1s3: 
s1c3: 
s1n: 
s1c: 
s1l: 
s1g3: 
s1n2: 
s1c4: 
s1d: 
s1g5: 
s1g2: 
"	"s1s: suspend-01
s1g4: government-organization
s1g: govern-01
s1f: federal
s1s2: sell-01
s1b: bond
s1s3: savings
s1c3: country
s1n: name
s1c: cause-01
s1l: lift-01
s1g3: government-organization
s1n2: name
s1c4: ceiling
s1d: debt
s1g5: government-organization
s1g2: govern-01
"
nw.wsj_0008.2	"s2s: 
s2g3: 
s2t: 
s2a: 
s2i: 
s2g4: 
s2g: 
s2o2: 
s2d: 
s2n: 
s2k: 
s2a3: 
s2u: 
s2a2: 
s2g2: 
s2c: 
"	"s2s: say-01
s2g3: government-organization
s2t: name
s2a: authorize-01
s2i: issue-01
s2g4: government-organization
s2g: govern-01
s2o2: obligation
s2d: debt
s2n: new-01
s2k: kind
s2a3: any
s2u: until
s2a2: act-02
s2g2: government-organization
s2c: name
"
nw.wsj_0008.2	"s2s: 
s2g3: 
s2t: 
s2a: 
s2i: 
s2g4: 
s2g: 
s2o2: 
s2d: 
s2n: 
s2k: 
s2a3: 
s2u: 
s2a2: 
s2g2: 
s2c: 
"	"s2s: say-01
s2g3: government-organization
s2t: name
s2a: authorize-01
s2i: issue-01
s2g4: government-organization
s2g: govern-01
s2o2: obligation
s2d: debt
s2n: new-01
s2k: kind
s2a3: any
s2u: until
s2a2: act-02
s2g2: government-organization
s2c: name
"
nw.wsj_0008.2	"s2s: 
s2g3: 
s2t: 
s2a: 
s2i: 
s2g4: 
s2g: 
s2o2: 
s2d: 
s2n: 
s2k: 
s2a3: 
s2u: 
s2a2: 
s2g2: 
s2c: 
"	"s2s: say-01
s2g3: government-organization
s2t: name
s2a: authorize-01
s2i: issue-01
s2g4: government-organization
s2g: govern-01
s2o2: obligation
s2d: debt
s2n: new-01
s2k: kind
s2a3: any
s2u: until
s2a2: act-02
s2g2: government-organization
s2c: name
"
nw.wsj_0008.2	"s2s: 
s2g3: 
s2t: 
s2a: 
s2i: 
s2g4: 
s2g: 
s2o2: 
s2d: 
s2n: 
s2k: 
s2a3: 
s2u: 
s2a2: 
s2g2: 
s2c: 
"	"s2s: say-01
s2g3: government-organization
s2t: name
s2a: authorize-01
s2i: issue-01
s2g4: government-organization
s2g: govern-01
s2o2: obligation
s2d: debt
s2n: new-01
s2k: kind
s2a3: any
s2u: until
s2a2: act-02
s2g2: government-organization
s2c: name
"
nw.wsj_0008.2	"s2s: 
s2g3: 
s2t: 
s2a: 
s2i: 
s2g4: 
s2g: 
s2o2: 
s2d: 
s2n: 
s2k: 
s2a3: 
s2u: 
s2a2: 
s2g2: 
s2c: 
"	"s2s: say-01
s2g3: government-organization
s2t: name
s2a: authorize-01
s2i: issue-01
s2g4: government-organization
s2g: govern-01
s2o2: obligation
s2d: debt
s2n: new-01
s2k: kind
s2a3: any
s2u: until
s2a2: act-02
s2g2: government-organization
s2c: name
"
nw.wsj_0008.2	"s2s: 
s2g3: 
s2t: 
s2a: 
s2i: 
s2g4: 
s2g: 
s2o2: 
s2d: 
s2n: 
s2k: 
s2a3: 
s2u: 
s2a2: 
s2g2: 
s2c: 
"	"s2s: say-01
s2g3: government-organization
s2t: name
s2a: authorize-01
s2i: issue-01
s2g4: government-organization
s2g: govern-01
s2o2: obligation
s2d: debt
s2n: new-01
s2k: kind
s2a3: any
s2u: until
s2a2: act-02
s2g2: government-organization
s2c: name
"
nw.wsj_0008.3	"s3d4: 
s3t: 
s3b: 
s3g: 
s3g2: 
s3a: 
s3m2: 
s3d3: 
s3m: 
s3d2: 
s3d: 
s3w: 
"	"s3d4: drop-01
s3t: thing
s3b: borrow-01
s3g: government-organization
s3g2: govern-01
s3a: authorize-01
s3m2: monetary-quantity
s3d3: dollar
s3m: monetary-quantity
s3d2: dollar
s3d: date-entity
s3w: wednesday
"
nw.wsj_0008.3	"s3d4: 
s3t: 
s3b: 
s3g: 
s3g2: 
s3a: 
s3m2: 
s3d3: 
s3m: 
s3d2: 
s3d: 
s3w: 
"	"s3d4: drop-01
s3t: thing
s3b: borrow-01
s3g: government-organization
s3g2: govern-01
s3a: authorize-01
s3m2: monetary-quantity
s3d3: dollar
s3m: monetary-quantity
s3d2: dollar
s3d: date-entity
s3w: wednesday
"
nw.wsj_0008.3	"s3d4: 
s3t: 
s3b: 
s3g: 
s3g2: 
s3a: 
s3m2: 
s3d3: 
s3m: 
s3d2: 
s3d: 
s3w: 
"	"s3d4: drop-01
s3t: thing
s3b: borrow-01
s3g: government-organization
s3g2: govern-01
s3a: authorize-01
s3m2: monetary-quantity
s3d3: dollar
s3m: monetary-quantity
s3d2: dollar
s3d: date-entity
s3w: wednesday
"
nw.wsj_0008.3	"s3d4: 
s3t: 
s3b: 
s3g: 
s3g2: 
s3a: 
s3m2: 
s3d3: 
s3m: 
s3d2: 
s3d: 
s3w: 
"	"s3d4: drop-01
s3t: thing
s3b: borrow-01
s3g: government-organization
s3g2: govern-01
s3a: authorize-01
s3m2: monetary-quantity
s3d3: dollar
s3m: monetary-quantity
s3d2: dollar
s3d: date-entity
s3w: wednesday
"
nw.wsj_0008.4	"s4e: 
s4l: 
s4l2: 
s4c: 
s4d: 
s4f: 
s4c2: 
s4t2: 
s4t: 
s4t3: 
s4g3: 
s4c5: 
"	"s4e: ensnarl-01
s4l: legislate-01
s4l2: lift-01
s4c: ceiling
s4d: debt
s4f: fight-01
s4c2: cut-02
s4t2: thing
s4t: tax-01
s4t3: thing
s4g3: gain-02
s4c5: capital
"
nw.wsj_0008.4	"s4e: 
s4l: 
s4l2: 
s4c: 
s4d: 
s4f: 
s4c2: 
s4t2: 
s4t: 
s4t3: 
s4g3: 
s4c5: 
"	"s4e: ensnarl-01
s4l: legislate-01
s4l2: lift-01
s4c: ceiling
s4d: debt
s4f: fight-01
s4c2: cut-02
s4t2: thing
s4t: tax-01
s4t3: thing
s4g3: gain-02
s4c5: capital
"
nw.wsj_0008.4	"s4e: 
s4l: 
s4l2: 
s4c: 
s4d: 
s4f: 
s4c2: 
s4t2: 
s4t: 
s4t3: 
s4g3: 
s4c5: 
"	"s4e: ensnarl-01
s4l: legislate-01
s4l2: lift-01
s4c: ceiling
s4d: debt
s4f: fight-01
s4c2: cut-02
s4t2: thing
s4t: tax-01
s4t3: thing
s4g3: gain-02
s4c5: capital
"
nw.wsj_0008.4	"s4e: 
s4l: 
s4l2: 
s4c: 
s4d: 
s4f: 
s4c2: 
s4t2: 
s4t: 
s4t3: 
s4g3: 
s4c5: 
"	"s4e: ensnarl-01
s4l: legislate-01
s4l2: lift-01
s4c: ceiling
s4d: debt
s4f: fight-01
s4c2: cut-02
s4t2: thing
s4t: tax-01
s4t3: thing
s4g3: gain-02
s4c5: capital
"
nw.wsj_0008.4	"s4e: 
s4l: 
s4l2: 
s4c: 
s4d: 
s4f: 
s4c2: 
s4t2: 
s4t: 
s4t3: 
s4g3: 
s4c5: 
"	"s4e: ensnarl-01
s4l: legislate-01
s4l2: lift-01
s4c: ceiling
s4d: debt
s4f: fight-01
s4c2: cut-02
s4t2: thing
s4t: tax-01
s4t3: thing
s4g3: gain-02
s4c5: capital
"
nw.wsj_0008.4	"s4e: 
s4l: 
s4l2: 
s4c: 
s4d: 
s4f: 
s4c2: 
s4t2: 
s4t: 
s4t3: 
s4g3: 
s4c5: 
"	"s4e: ensnarl-01
s4l: legislate-01
s4l2: lift-01
s4c: ceiling
s4d: debt
s4f: fight-01
s4c2: cut-02
s4t2: thing
s4t: tax-01
s4t3: thing
s4g3: gain-02
s4c5: capital
"
nw.wsj_0008.4	"s4e: 
s4l: 
s4l2: 
s4c: 
s4d: 
s4f: 
s4c2: 
s4t2: 
s4t: 
s4t3: 
s4g3: 
s4c5: 
"	"s4e: ensnarl-01
s4l: legislate-01
s4l2: lift-01
s4c: ceiling
s4d: debt
s4f: fight-01
s4c2: cut-02
s4t2: thing
s4t: tax-01
s4t3: thing
s4g3: gain-02
s4c5: capital
"
nw.wsj_0008.5	"s5c2: 
s5v: 
s5g: 
s5n: 
s5r: 
s5c: 
s5m: 
s5d: 
s5e: 
s5a: 
s5g2: 
s5n2: 
s5b2: 
s5w: 
s5n3: 
"	"s5c2: contrast-91
s5v: vote-01
s5g: government-organization
s5n: name
s5r: raise-01
s5c: ceiling
s5m: monetary-quantity
s5d: dollar
s5e: expect-01
s5a: act-02
s5g2: government-organization
s5n2: name
s5b2: before
s5w: week
s5n3: next
"
nw.wsj_0008.5	"s5c2: 
s5v: 
s5g: 
s5n: 
s5r: 
s5c: 
s5m: 
s5d: 
s5e: 
s5a: 
s5g2: 
s5n2: 
s5b2: 
s5w: 
s5n3: 
"	"s5c2: contrast-91
s5v: vote-01
s5g: government-organization
s5n: name
s5r: raise-01
s5c: ceiling
s5m: monetary-quantity
s5d: dollar
s5e: expect-01
s5a: act-02
s5g2: government-organization
s5n2: name
s5b2: before
s5w: week
s5n3: next
"
nw.wsj_0008.5	"s5c2: 
s5v: 
s5g: 
s5n: 
s5r: 
s5c: 
s5m: 
s5d: 
s5e: 
s5a: 
s5g2: 
s5n2: 
s5b2: 
s5w: 
s5n3: 
"	"s5c2: contrast-91
s5v: vote-01
s5g: government-organization
s5n: name
s5r: raise-01
s5c: ceiling
s5m: monetary-quantity
s5d: dollar
s5e: expect-01
s5a: act-02
s5g2: government-organization
s5n2: name
s5b2: before
s5w: week
s5n3: next
"
nw.wsj_0008.5	"s5c2: 
s5v: 
s5g: 
s5n: 
s5r: 
s5c: 
s5m: 
s5d: 
s5e: 
s5a: 
s5g2: 
s5n2: 
s5b2: 
s5w: 
s5n3: 
"	"s5c2: contrast-91
s5v: vote-01
s5g: government-organization
s5n: name
s5r: raise-01
s5c: ceiling
s5m: monetary-quantity
s5d: dollar
s5e: expect-01
s5a: act-02
s5g2: government-organization
s5n2: name
s5b2: before
s5w: week
s5n3: next
"
nw.wsj_0008.5	"s5c2: 
s5v: 
s5g: 
s5n: 
s5r: 
s5c: 
s5m: 
s5d: 
s5e: 
s5a: 
s5g2: 
s5n2: 
s5b2: 
s5w: 
s5n3: 
"	"s5c2: contrast-91
s5v: vote-01
s5g: government-organization
s5n: name
s5r: raise-01
s5c: ceiling
s5m: monetary-quantity
s5d: dollar
s5e: expect-01
s5a: act-02
s5g2: government-organization
s5n2: name
s5b2: before
s5w: week
s5n3: next
"
nw.wsj_0008.6	"s6s: 
s6g: 
s6n: 
s6d2: 
s6c: 
s6u: 
s6d: 
s6a: 
s6g2: 
s6n2: 
s6b: 
"	"s6s: say-01
s6g: government-organization
s6n: name
s6d2: default-01
s6c: country
s6u: name
s6d: date-entity
s6a: act-02
s6g2: government-organization
s6n2: name
s6b: by
"
nw.wsj_0008.6	"s6s: 
s6g: 
s6n: 
s6d2: 
s6c: 
s6u: 
s6d: 
s6a: 
s6g2: 
s6n2: 
s6b: 
"	"s6s: say-01
s6g: government-organization
s6n: name
s6d2: default-01
s6c: country
s6u: name
s6d: date-entity
s6a: act-02
s6g2: government-organization
s6n2: name
s6b: by
"
nw.wsj_0008.6	"s6s: 
s6g: 
s6n: 
s6d2: 
s6c: 
s6u: 
s6d: 
s6a: 
s6g2: 
s6n2: 
s6b: 
"	"s6s: say-01
s6g: government-organization
s6n: name
s6d2: default-01
s6c: country
s6u: name
s6d: date-entity
s6a: act-02
s6g2: government-organization
s6n2: name
s6b: by
"
nw.wsj_0009.1	"s1n: 
s1p: 
s1c: 
s1a: 
s1p2: 
s1v: 
s1s: 
s1p3: 
s1m2: 
s1a2: 
s1t: 
s1c4: 
s1m: 
s1c3: 
s1j: 
s1m4: 
s1a4: 
s1c2: 
s1u: 
s1s2: 
s1m3: 
s1g: 
s1h: 
"	"s1n: name-03
s1p: person
s1c: name
s1a: and
s1p2: president
s1v: vice
s1s: senior
s1p3: person
s1m2: manage-01
s1a2: arm
s1t: this
s1c4: company
s1m: name
s1c3: country
s1j: name
s1m4: make-01
s1a4: auto
s1c2: country
s1u: name
s1s2: sell-01
s1m3: market-01
s1g: general
s1h: have-org-role-92
"
nw.wsj_0009.1	"s1n: 
s1p: 
s1c: 
s1a: 
s1p2: 
s1v: 
s1s: 
s1p3: 
s1m2: 
s1a2: 
s1t: 
s1c4: 
s1m: 
s1c3: 
s1j: 
s1m4: 
s1a4: 
s1c2: 
s1u: 
s1s2: 
s1m3: 
s1g: 
s1h: 
"	"s1n: name-03
s1p: person
s1c: name
s1a: and
s1p2: president
s1v: vice
s1s: senior
s1p3: person
s1m2: manage-01
s1a2: arm
s1t: this
s1c4: company
s1m: name
s1c3: country
s1j: name
s1m4: make-01
s1a4: auto
s1c2: country
s1u: name
s1s2: sell-01
s1m3: market-01
s1g: general
s1h: have-org-role-92
"
nw.wsj_0009.1	"s1n: 
s1p: 
s1c: 
s1a: 
s1p2: 
s1v: 
s1s: 
s1p3: 
s1m2: 
s1a2: 
s1t: 
s1c4: 
s1m: 
s1c3: 
s1j: 
s1m4: 
s1a4: 
s1c2: 
s1u: 
s1s2: 
s1m3: 
s1g: 
s1h: 
"	"s1n: name-03
s1p: person
s1c: name
s1a: and
s1p2: president
s1v: vice
s1s: senior
s1p3: person
s1m2: manage-01
s1a2: arm
s1t: this
s1c4: company
s1m: name
s1c3: country
s1j: name
s1m4: make-01
s1a4: auto
s1c2: country
s1u: name
s1s2: sell-01
s1m3: market-01
s1g: general
s1h: have-org-role-92
"
nw.wsj_0009.1	"s1n: 
s1p: 
s1c: 
s1a: 
s1p2: 
s1v: 
s1s: 
s1p3: 
s1m2: 
s1a2: 
s1t: 
s1c4: 
s1m: 
s1c3: 
s1j: 
s1m4: 
s1a4: 
s1c2: 
s1u: 
s1s2: 
s1m3: 
s1g: 
s1h: 
"	"s1n: name-03
s1p: person
s1c: name
s1a: and
s1p2: president
s1v: vice
s1s: senior
s1p3: person
s1m2: manage-01
s1a2: arm
s1t: this
s1c4: company
s1m: name
s1c3: country
s1j: name
s1m4: make-01
s1a4: auto
s1c2: country
s1u: name
s1s2: sell-01
s1m3: market-01
s1g: general
s1h: have-org-role-92
"
nw.wsj_0009.1	"s1n: 
s1p: 
s1c: 
s1a: 
s1p2: 
s1v: 
s1s: 
s1p3: 
s1m2: 
s1a2: 
s1t: 
s1c4: 
s1m: 
s1c3: 
s1j: 
s1m4: 
s1a4: 
s1c2: 
s1u: 
s1s2: 
s1m3: 
s1g: 
s1h: 
"	"s1n: name-03
s1p: person
s1c: name
s1a: and
s1p2: president
s1v: vice
s1s: senior
s1p3: person
s1m2: manage-01
s1a2: arm
s1t: this
s1c4: company
s1m: name
s1c3: country
s1j: name
s1m4: make-01
s1a4: auto
s1c2: country
s1u: name
s1s2: sell-01
s1m3: market-01
s1g: general
s1h: have-org-role-92
"
nw.wsj_0009.1	"s1n: 
s1p: 
s1c: 
s1a: 
s1p2: 
s1v: 
s1s: 
s1p3: 
s1m2: 
s1a2: 
s1t: 
s1c4: 
s1m: 
s1c3: 
s1j: 
s1m4: 
s1a4: 
s1c2: 
s1u: 
s1s2: 
s1m3: 
s1g: 
s1h: 
"	"s1n: name-03
s1p: person
s1c: name
s1a: and
s1p2: president
s1v: vice
s1s: senior
s1p3: person
s1m2: manage-01
s1a2: arm
s1t: this
s1c4: company
s1m: name
s1c3: country
s1j: name
s1m4: make-01
s1a4: auto
s1c2: country
s1u: name
s1s2: sell-01
s1m3: market-01
s1g: general
s1h: have-org-role-92
"
nw.wsj_0009.2	"s2o2: 
s2h: 
s2a: 
s2o: 
s2s: 
s2o4: 
s2s2: 
s2o5: 
s2p: 
s2o6: 
s2m2: 
s2c2: 
s2m: 
s2c3: 
s2n: 
s2h2: 
s2p2: 
s2n2: 
"	"s2o2: oversee-01
s2h: he
s2a: and
s2o: operation
s2s: sell-01
s2o4: operation
s2s2: service-05
s2o5: operation
s2p: part
s2o6: operation
s2m2: market-01
s2c2: company
s2m: name
s2c3: country
s2n: name
s2h2: have-org-role-92
s2p2: position
s2n2: new-02
"
nw.wsj_0009.2	"s2o2: 
s2h: 
s2a: 
s2o: 
s2s: 
s2o4: 
s2s2: 
s2o5: 
s2p: 
s2o6: 
s2m2: 
s2c2: 
s2m: 
s2c3: 
s2n: 
s2h2: 
s2p2: 
s2n2: 
"	"s2o2: oversee-01
s2h: he
s2a: and
s2o: operation
s2s: sell-01
s2o4: operation
s2s2: service-05
s2o5: operation
s2p: part
s2o6: operation
s2m2: market-01
s2c2: company
s2m: name
s2c3: country
s2n: name
s2h2: have-org-role-92
s2p2: position
s2n2: new-02
"
nw.wsj_0009.2	"s2o2: 
s2h: 
s2a: 
s2o: 
s2s: 
s2o4: 
s2s2: 
s2o5: 
s2p: 
s2o6: 
s2m2: 
s2c2: 
s2m: 
s2c3: 
s2n: 
s2h2: 
s2p2: 
s2n2: 
"	"s2o2: oversee-01
s2h: he
s2a: and
s2o: operation
s2s: sell-01
s2o4: operation
s2s2: service-05
s2o5: operation
s2p: part
s2o6: operation
s2m2: market-01
s2c2: company
s2m: name
s2c3: country
s2n: name
s2h2: have-org-role-92
s2p2: position
s2n2: new-02
"
nw.wsj_0009.2	"s2o2: 
s2h: 
s2a: 
s2o: 
s2s: 
s2o4: 
s2s2: 
s2o5: 
s2p: 
s2o6: 
s2m2: 
s2c2: 
s2m: 
s2c3: 
s2n: 
s2h2: 
s2p2: 
s2n2: 
"	"s2o2: oversee-01
s2h: he
s2a: and
s2o: operation
s2s: sell-01
s2o4: operation
s2s2: service-05
s2o5: operation
s2p: part
s2o6: operation
s2m2: market-01
s2c2: company
s2m: name
s2c3: country
s2n: name
s2h2: have-org-role-92
s2p2: position
s2n2: new-02
"
nw.wsj_0009.2	"s2o2: 
s2h: 
s2a: 
s2o: 
s2s: 
s2o4: 
s2s2: 
s2o5: 
s2p: 
s2o6: 
s2m2: 
s2c2: 
s2m: 
s2c3: 
s2n: 
s2h2: 
s2p2: 
s2n2: 
"	"s2o2: oversee-01
s2h: he
s2a: and
s2o: operation
s2s: sell-01
s2o4: operation
s2s2: service-05
s2o5: operation
s2p: part
s2o6: operation
s2m2: market-01
s2c2: company
s2m: name
s2c3: country
s2n: name
s2h2: have-org-role-92
s2p2: position
s2n2: new-02
"
nw.wsj_0009.2	"s2o2: 
s2h: 
s2a: 
s2o: 
s2s: 
s2o4: 
s2s2: 
s2o5: 
s2p: 
s2o6: 
s2m2: 
s2c2: 
s2m: 
s2c3: 
s2n: 
s2h2: 
s2p2: 
s2n2: 
"	"s2o2: oversee-01
s2h: he
s2a: and
s2o: operation
s2s: sell-01
s2o4: operation
s2s2: service-05
s2o5: operation
s2p: part
s2o6: operation
s2m2: market-01
s2c2: company
s2m: name
s2c3: country
s2n: name
s2h2: have-org-role-92
s2p2: position
s2n2: new-02
"
nw.wsj_0009.3	"s3p: 
s3m: 
s3h: 
s3d: 
s3c: 
s3c2: 
s3o: 
s3c3: 
s3m2: 
s3m3: 
s3g: 
s3p3: 
s3t: 
s3y: 
"	"s3p: person
s3m: name
s3h: have-org-role-92
s3d: division
s3c: company
s3c2: name
s3o: organization
s3c3: name
s3m2: manage-01
s3m3: market-01
s3g: general
s3p3: previous
s3t: temporal-quantity
s3y: year
"
nw.wsj_0009.3	"s3p: 
s3m: 
s3h: 
s3d: 
s3c: 
s3c2: 
s3o: 
s3c3: 
s3m2: 
s3m3: 
s3g: 
s3p3: 
s3t: 
s3y: 
"	"s3p: person
s3m: name
s3h: have-org-role-92
s3d: division
s3c: company
s3c2: name
s3o: organization
s3c3: name
s3m2: manage-01
s3m3: market-01
s3g: general
s3p3: previous
s3t: temporal-quantity
s3y: year
"
nw.wsj_0009.3	"s3p: 
s3m: 
s3h: 
s3d: 
s3c: 
s3c2: 
s3o: 
s3c3: 
s3m2: 
s3m3: 
s3g: 
s3p3: 
s3t: 
s3y: 
"	"s3p: person
s3m: name
s3h: have-org-role-92
s3d: division
s3c: company
s3c2: name
s3o: organization
s3c3: name
s3m2: manage-01
s3m3: market-01
s3g: general
s3p3: previous
s3t: temporal-quantity
s3y: year
"
nw.wsj_0009.4	"s4h: 
s4h2: 
s4c: 
s4n: 
s4e: 
s4a: 
s4s: 
s4m: 
s4t: 
s4y: 
"	"s4h: have-org-role-92
s4h2: he
s4c: company
s4n: name
s4e: executive
s4a: and
s4s: sell-01
s4m: market-01
s4t: temporal-quantity
s4y: year
"
nw.wsj_0009.4	"s4h: 
s4h2: 
s4c: 
s4n: 
s4e: 
s4a: 
s4s: 
s4m: 
s4t: 
s4y: 
"	"s4h: have-org-role-92
s4h2: he
s4c: company
s4n: name
s4e: executive
s4a: and
s4s: sell-01
s4m: market-01
s4t: temporal-quantity
s4y: year
"
nw.wsj_0009.4	"s4h: 
s4h2: 
s4c: 
s4n: 
s4e: 
s4a: 
s4s: 
s4m: 
s4t: 
s4y: 
"	"s4h: have-org-role-92
s4h2: he
s4c: company
s4n: name
s4e: executive
s4a: and
s4s: sell-01
s4m: market-01
s4t: temporal-quantity
s4y: year
"
DF-170-181103-888_3333.1	"s1a: 
s1t: 
s1c: 
s1a2: 
s1r: 
s1c2: 
s1n: 
s1m: 
s1w2: 
s1f: 
s1g: 
s1w: 
"	"s1a: and
s1t: take-01
s1c: company
s1a2: another
s1r: resemble-91
s1c2: company
s1n: name
s1m: money
s1w2: we
s1f: fail-01
s1g: goal
s1w: wow
"
DF-170-181103-888_3333.1	"s1a: 
s1t: 
s1c: 
s1a2: 
s1r: 
s1c2: 
s1n: 
s1m: 
s1w2: 
s1f: 
s1g: 
s1w: 
"	"s1a: and
s1t: take-01
s1c: company
s1a2: another
s1r: resemble-91
s1c2: company
s1n: name
s1m: money
s1w2: we
s1f: fail-01
s1g: goal
s1w: wow
"
